Designator,Mid X,Mid Y,Rotation,Layer
C1,12.35,-7.675,270.0,top
C10,26.6,-2.6,180.0,top
C11,25.8,-5.425,90.0,top
C2,23.75,-6.525,270.0,top
C3,61.4,-4.325,90.0,top
C4,50.0,-5.475,90.0,top
C5,59.0,-12.625,90.0,top
C6,18.4,-12.625,90.0,top
C7,44.2,-12.0,90.0,top
C8,47.2,-2.6,0.0,top
C9,48.0,-5.025,90.0,top
D1,3.1875,-15.0,0.0,top
D2,70.8125,-15.0,180.0,top
FB1,46.2,-5.1375,270.0,top
FB2,27.6,-5.1375,90.0,top
H5,5.9,-69.85,90.0,top
H6,30.1,-69.85,90.0,top
H7,43.9,-69.85,90.0,top
H8,68.1,-69.85,90.0,top
J1,18.0,-21.8,180.0,top
J2,56.0,-21.8,180.0,top
J3,37.0,-8.0,0.0,top
R1,6.2,-15.0,180.0,top
R2,67.775,-15.0,0.0,top
R3,42.6,-12.0,90.0,top
R4,62.2,-12.575,270.0,top
R5,60.6,-12.575,270.0,top
R6,21.6,-12.575,270.0,top
R7,20.0,-12.575,270.0,top
U1,18.0,-6.0,180.0,top
U2,55.6,-6.0,0.0,top
